183,1,36268,1
185,1,38493,1
188,1,47641,1
186,3,58442,1
187,5,71021,1
195,1,67607,1
184,8,85506,1
190,6,95839,1
191,5,113055,1
182,7,110385,1
201,1,44800,1
208,1,46308,1
192,11,139779,1
207,2,54202,1
193,11,147736,1
194,11,159588,1
203,3,89166,1
189,8,189028,1
198,7,97403,1
200,8,97432,1
181,10,206487,1
199,9,108679,1
205,9,112207,1
209,9,119180,1
212,3,60793,1
204,5,158893,1
222,3,74813,1
215,7,66420,1
224,7,56998,1
197,4,179059,1
221,7,60692,1
196,4,183377,1
225,8,75346,1
213,9,101966,1
219,9,116089,1
218,6,159030,1
217,12,149286,1
220,4,211021,1
211,4,217432,1
214,4,215690,1
202,11,309990,1
210,11,312000,1
216,11,228292,1
223,11,238919,1
206,10,372800,1
平均,,130781.2889,
中位,,110385,
最小值,,36268,
最大值,,372800,
下四分位,,67607,
上四分位,,179059,
