a'ke,1,34924,1
11,1,44589,1
10,2,44715,1
15,1,40645,1
5,9,43580,1
6,4,83181,1
1,4,83819,1
8,4,85111,1
7,9,90836,1
2,8,92896,1
13,7,106316,1
3,12,110440,1
9,11,133865,1
12,12,141323,1
27,1,76681,1
20,2,82021,1
28,1,93549,1
18,4,101967,1
29,1,102251,1
4,12,179292,1
19,8,117048,1
23,4,132434,1
22,4,137228,1
26,9,135243,1
16,12,147235,1
24,9,141059,1
34,1,79662,1
17,12,194542,1
21,12,203844,1
38,1,136035,1
25,11,206873,1
30,7,211861,1
40,2,145557,1
44,1,161506,1
35,4,173364,1
32,4,184093,1
43,4,182507,1
31,9,183850,1
36,8,189507,1
39,7,209185,1
37,12,214501,1
33,12,214504,1
41,9,220057,1
48,2,152482,1
59,1,161347,1
58,1,170958,1
42,11,252676,1
57,1,175640,1
45,12,270006,1
53,4,197723,1
54,4,207765,1
55,4,223363,1
56,9,215668,1
46,12,235140,1
50,7,232377,1
51,8,235103,1
49,11,253826,1
47,12,258096,1
60,9,254831,1
52,12,282067,1
平均,,157879.4,
中位,,161426.5,
最小值,,34924,
最大值,,282067,
上四分位,,209854,
下四分位,,102180,
