47,3,41415,1
54,1,44655,1
56,1,47925,1
60,1,54185,1
57,1,52731,1
46,5,67530,1
55,5,80800,1
51,6,82184,1
58,8,92428,1
49,8,116791,1
59,7,121086,1
53,11,130298,1
52,11,147809,1
48,11,147771,1
50,10,156280,1
61,5,76939,1
69,1,76158,1
71,3,85466,1
72,1,84614,1
73,2,91216,1
67,4,108581,1
63,9,98668,1
64,4,128144,1
65,8,113641,1
66,7,117632,1
74,9,131246,1
75,9,148238,1
68,11,154249,1
70,10,182783,1
85,6,101488,1
62,11,181461,1
83,4,105487,1
87,3,117778,1
81,3,126182,1
78,4,127445,1
79,4,127786,1
82,8,125987,1
88,9,157281,1
77,11,161441,1
76,9,162081,1
80,12,165139,1
84,11,169215,1
90,7,170556,1
86,7,174249,1
89,7,181360,1
平均,,118586.6444,
中位,,121086,
最小值,,41415,
最大值,,182783,
下四分位,,85466,
上四分位,,154249,
