11,5,53661,1
1,5,54870,1
5,3,68487,1
7,6,71862,1
4,1,72884,1
15,3,70317,1
8,6,73839,1
13,3,87794,1
2,9,96179,1
6,1,102513,1
12,7,97117,1
3,4,109764,1
9,8,101816,1
10,9,112785,1
17,1,31342,1
23,2,36922,1
20,1,36668,1
27,6,66294,1
19,4,67615,1
21,5,71879,1
14,10,184207,1
16,4,80577,1
26,2,80855,1
30,6,101738,1
25,5,105668,1
24,9,115458,1
18,11,154383,1
22,12,164540,1
29,12,166954,1
31,5,92118,1
32,5,94915,1
43,5,94181,1
28,10,217099,1
33,4,126059,1
38,5,134585,1
41,5,137661,1
34,7,131153,1
42,7,137748,1
37,4,156892,1
40,7,149321,1
44,8,155004,1
39,7,159265,1
48,1,80492,1
35,11,187776,1
49,5,95214,1
36,10,208929,1
50,3,103964,1
58,2,107392,1
59,5,117252,1
53,6,147089,1
54,6,147121,1
56,2,149290,1
45,10,255140,1
60,1,156211,1
46,8,163011,1
51,12,197083,1
55,9,196281,1
57,11,221609,1
67,1,134883,1
64,5,137538,1
61,5,141477,1
63,3,151049,1
52,10,260900,1
69,4,160943,1
72,1,161667,1
75,1,163382,1
73,2,173735,1
62,6,189052,1
47,10,299085,1
74,9,184790,1
65,7,190205,1
70,8,196407,1
68,9,207490,1
66,12,235524,1
71,11,240773,1
平均,,135836.5733,
中位,,137538,
最小值,,31342,
最大值,,299085,
下四分位,,94548,
上四分位,,165747,
