47,3,34004,1
59,1,30978,1
53,1,33950,1
52,1,41661,1
48,1,52982,1
55,5,51274,1
57,6,61650,1
56,5,60108,1
58,7,64961,1
49,8,77868,1
51,8,100033,1
46,10,124777,1
54,11,126150,1
50,11,128175,1
64,1,52497,1
75,1,48972,1
60,11,148498,1
61,4,77084,1
67,2,81528,1
66,4,92335,1
70,7,72901,1
73,5,94383,1
62,11,122356,1
68,8,124478,1
63,11,133513,1
65,9,138815,1
71,3,166327,1
69,9,153559,1
74,10,148327,1
76,4,107206,1
72,9,180199,1
83,4,102327,1
78,4,113115,1
79,7,100003,1
80,7,101131,1
86,7,102895,1
89,8,105227,1
77,3,152630,1
82,9,156747,1
87,11,152522,1
81,11,151001,1
84,9,154378,1
85,3,182554,1
88,6,204110,1
90,12,199136,1
平均,,109096.1111,
中位,,105227,
最小值,,30978,
最大值,,204110,
下四分位,,72901,
上四分位,,148498,
