623,1,31702,1
624,1,35734,1
618,2,37501,1
628,1,47954,1
622,9,47241,1
625,4,71343,1
616,7,63963,1
626,4,80458,1
630,4,83415,1
621,12,88066,1
619,12,90756,1
620,8,98816,1
627,9,110861,1
629,12,154714,1
617,11,152676,1
631,2,60966,1
637,1,58031,1
640,1,59160,1
643,1,59900,1
633,4,68875,1
636,4,75575,1
642,7,72166,1
644,4,92524,1
635,8,82414,1
634,9,93412,1
641,11,123866,1
632,12,149992,1
645,9,142871,1
638,12,146472,1
639,12,154310,1
646,1,76562,1
656,1,74400,1
654,1,76228,1
659,7,72180,1
647,8,75535,1
650,2,102047,1
648,4,108832,1
652,9,102438,1
660,4,132413,1
657,4,136962,1
663,1,38758,1
651,11,157565,1
649,12,145285,1
674,1,58761,1
667,1,62107,1
672,7,52867,1
661,4,73295,1
665,2,76773,1
662,8,66910,1
664,4,90436,1
670,4,91390,1
658,9,239540,1
653,12,253951,1
655,12,251747,1
666,11,136996,1
671,9,141574,1
669,12,178153,1
668,12,186672,1
686,1,86288,1
684,1,85398,1
678,1,90202,1
688,7,75156,1
680,4,102820,1
676,2,124819,1
690,4,139676,1
679,4,147248,1
685,8,125336,1
675,9,266611,1
677,9,149773,1
683,11,161769,1
673,12,290571,1
681,12,198249,1
682,12,204556,1
696,1,115234,1
700,7,101011,1
695,1,119354,1
691,1,122248,1
699,4,137830,1
694,2,143924,1
705,4,153396,1
701,4,152712,1
692,8,140980,1
689,9,276961,1
693,9,162074,1
703,11,185768,1
687,12,304107,1
698,9,200420,1
697,12,202359,1
702,12,232462,1
704,12,250219,1
,,123840.4667,
