202,1,28085,1
199,3,49125,1
197,1,59750,1
207,3,70479,1
201,5,80289,1
206,3,89561,1
205,6,99177,1
210,6,121802,1
198,9,122351,1
196,7,127929,1
203,5,144665,1
200,9,139539,1
208,8,140154,1
216,1,52152,1
217,1,52905,1
209,4,171662,1
214,2,66154,1
218,2,66755,1
219,9,63991,1
220,6,108642,1
204,10,222418,1
222,6,108951,1
211,12,130886,1
221,5,167459,1
225,12,181196,1
223,5,199135,1
215,4,227029,1
226,5,141455,1
224,4,261439,1
213,11,252857,1
231,5,151820,1
234,5,169690,1
237,5,175497,1
255,1,56303,1
245,2,58115,1
242,1,61040,1
252,2,61012,1
212,10,302010,1
246,3,73816,1
228,7,190034,1
239,7,189239,1
227,7,194834,1
240,7,209924,1
235,8,210704,1
251,8,108254,1
243,9,116458,1
248,6,150730,1
249,6,160666,1
238,5,316080,1
253,12,178870,1
247,5,194067,1
254,5,193389,1
264,1,103161,1
261,1,104840,1
233,4,346050,1
259,2,119216,1
270,1,115291,1
268,3,118901,1
236,4,365923,1
257,7,133018,1
260,9,131783,1
266,8,130222,1
258,9,130881,1
265,12,167412,1
269,6,199972,1
256,5,216275,1
263,5,236213,1
267,4,250085,1
229,11,491800,1
250,11,373805,1
262,11,278709,1
230,10,551510,1
232,10,568975,1
241,10,446704,1
244,10,457896,1
平均,,177455.8133,
中位,,144665,
最小值,,28085,
最大值,,568975,
下四分位,,106547,
上四分位,,210314,
